"","V4","total"
"913","@sdenta",19605
"914","@wolfblitzer",19558
"915","@auustr",19555
"916","@petersweden7",19530
"917","@wisemanlhs",19455
"918","@rsgat",19422
"919","@th3mb0fication",19419
"920","@lilmaddest",19397
"921","@trisukol",19395
"922","@packsurvival",19384
"923","@sosocialism",19371
"924","@analauramendes",19315
"925","@laventana",19290
"926","@thethurgood",19236
"927","@benvyle",19214
"928","@jonnysun",19213
"929","@simplydivine22",19172
"930","@antonioguterres",19120
"931","@nanaths",19118
"932","@stephenmangan",19099
"933","@compactm1ni",19093
"934","@ggrbty",19060
"935","@meidastouch",19039
"936","@jaybumaom",18969
"937","@nnnatene",18939
"938","@itsnickfam",18925
"939","@bussarinpptv",18910
"940","@GirlNamedMarley",18842
"941","@sebbyvi",18795
"942","@itstarekali",18751
"943","@thetonymorrison",18750
"944","@tundeolaniran",18750
"945","@realDonaldTrumps",18721
"946","@sldussan",18701
"947","@ivettepataki",18668
"948","@lisiniove",18665
"949","@lilcec1",18624
"950","@kemz1",18573
"951","@maetubtimgrob",18573
"952","@aeshlynn",18563
"953","@malpraxis",18562
"954","@convictedloner",18487
"955","@kassieepstein",18471
"956","@fitrianizarAH",18468
"957","@lillihopkins",18463
"958","@amubeenpath",18425
"959","@crockettforreal",18425
"960","@modnoii",18412
"961","@ddale8",18387
"962","@madmax68176958",18356
"963","@mrconsiderate",18333
"964","@sherryppt",18330
"965","@yakkinrotee",18298
"966","@lizzard1278",18297
"967","@anafcastela",18266
"968","@GoughCJ",18195
"969","@teeronnn",18194
"970","@jadegemrobin",18116
"971","@joycewhitevance",18101
"972","@clarajeffery",18059
"973","@iarnevilo",18026
"974","@ijbrunissima",17994
"975","@bt21",17938
"976","@olarvia",17899
"977","@petitpor",17887
"978","@ahrielnari",17862
"979","@arianagrande",17854
"980","@meganaronson",17835
"981","@Ndrews1162011",17816
"982","@OliverBecquart",17815
"983","@volunteermedth",17708
"984","@ajvictorymd",17686
"985","@byarena",17571
"986","@chknuggetz",17519
"987","@ADBoyntonII",17506
"988","@unyankobtrd",17475
"989","@SJPeace",17344
"990","@HaddadFernando",17278
"991","@verellie",17242
"992","@koocalvins",17215
"993","@ReicherStephen",17195
"994","@joannamont",17181
"995","@italianperthai",17152
"996","@fordnation",17142
"997","@mohaminmed",17137
"998","@meesterleesir",17126
"999","@realericcarmen",17117
"1000","@woonzen39",17117
"1001","@thaipbs",17091
"1002","@sabrinaamorenoo",17090
"1003","@ullissima",17074
"1004","@mariamainmo",17060
"1005","@tzbmix",17059
"1006","@juptrcalls",17058
"1007","@mrmessenger",17049
"1008","@jennafortruth",17029
"1009","@BrianSimsPA",16991
"1010","@JulianEpp",16973
"1011","@CDCgov",16970
"1012","@udawat",16964
